City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
562,Buraydah,SA,82.4,broken clouds,26.326,43.975,فندق راحة السلام
563,San Patricio,US,82.99,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
564,Eirunepe,BR,75.72,moderate rain,-6.6603,-69.8736,Atrás de você
567,Bani,DO,86.0,few clouds,18.2833,-70.3333,Hospedaje Henriquez
568,Gabu,GW,85.78,overcast clouds,12.2833,-14.2167,Hotel karsa
571,Tabas,IR,79.34,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
573,Jacareacanga,BR,76.89,broken clouds,-6.2222,-57.7528,Casa do Ian😎
577,Aquiraz,BR,82.4,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
581,Karaton,ID,80.01,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
582,Santa Teresa,VE,86.0,scattered clouds,10.2341,-66.6631,Funeraria Lira
585,Salalah,OM,84.2,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
588,Ouesso,CG,75.51,broken clouds,1.6136,16.0517,Hôtel ABENI
589,Vetapalem,IN,81.55,few clouds,15.7833,80.3167,Dasul Urdu Hostel
596,Ardakan,IR,78.8,haze,32.31,54.0175,Ardakan Hotel
598,Novo Aripuana,BR,77.16,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
600,Badvel,IN,78.94,scattered clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
603,Pangani,TZ,75.29,light rain,-5.4333,38.9667,Safari Mashariki Lodge
604,Kieta,PG,82.8,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
608,Aswan,EG,86.38,clear sky,24.0934,32.907,Nuba Nile
611,Garissa,KE,80.71,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
612,Texarkana,US,77.0,clear sky,33.4251,-94.0477,Holiday Inn Express & Suites Texarkana
613,Chhindwara,IN,80.6,overcast clouds,22.0667,78.9333,STARiHOTELS Chhindwara
615,Mecca,SA,85.03,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
628,Ugoofaaru,MV,82.9,clear sky,5.6667,73.0,Ungoofaaru Inn
635,Conway,US,75.2,clear sky,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
644,Montemorelos,MX,87.01,scattered clouds,25.2,-99.8167,Best Western Bazarell Inn
648,Camapua,BR,76.48,overcast clouds,-19.5314,-54.0439,Comercial Estrela
649,Benguela,AO,78.8,broken clouds,-12.5763,13.4055,Hotel Praia Morena
650,Dwarka,IN,81.54,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
651,Nguru,NG,89.98,few clouds,12.8791,10.4526,Government Lodge
654,Axim,GH,80.38,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
659,Diu,IN,80.83,scattered clouds,20.7141,70.9822,Hotel Relax Inn
660,Nhulunbuy,AU,77.0,light rain,-12.2333,136.7667,East Arnhem Real Estate
666,Wahiawa,US,82.0,broken clouds,21.5028,-158.0236,Aloha Wahiawa
669,Bintulu,MY,77.0,few clouds,3.1667,113.0333,900 Boutique INN
670,Manta,EC,82.4,few clouds,-0.95,-80.7333,Balandra Hotel
673,Hit,IQ,86.81,broken clouds,33.6416,42.8251,صالون زيرو
