City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Khanapur,IN,2021-04-21 21:17:05,15.6333,74.5167,69.03,88,44,2.73
161,Cabedelo,BR,2021-04-21 21:17:05,-6.9811,-34.8339,80.6,83,0,6.91
162,Torbat-E Jam,IR,2021-04-21 21:17:05,35.244,60.6225,64.63,41,3,2.46
163,Kenai,US,2021-04-21 21:17:06,60.5544,-151.2583,51.8,53,1,11.5
164,San Pedro De Macoris,DO,2021-04-21 21:17:06,18.4616,-69.2972,87.8,66,20,8.05
165,Shenjiamen,CN,2021-04-21 21:17:07,29.9576,122.298,60.93,88,0,11.7
166,Klaksvik,FO,2021-04-21 21:17:07,62.2266,-6.589,41.0,87,75,10.36
167,Casablanca,MA,2021-04-21 21:12:23,33.5928,-7.6192,59.0,77,40,6.91
168,Naze,JP,2021-04-21 21:17:08,28.3667,129.4833,65.53,70,13,17.78
169,Arman,RU,2021-04-21 21:17:08,59.7,150.1667,32.32,97,100,4.0
170,Walvis Bay,NA,2021-04-21 21:17:09,-22.9575,14.5053,75.2,46,79,1.14
171,Pisco,PE,2021-04-21 21:17:09,-13.7,-76.2167,71.6,68,0,26.46
172,Batagay-Alyta,RU,2021-04-21 21:17:10,67.8006,130.4114,-0.44,94,100,5.21
173,Shenkursk,RU,2021-04-21 21:17:10,62.1091,42.896,36.84,95,100,11.74
174,Kayes,ML,2021-04-21 21:17:11,14.0,-11.0,97.36,10,16,8.68
175,Leningradskiy,RU,2021-04-21 21:17:11,69.3833,178.4167,30.22,68,26,5.59
176,Havre-Saint-Pierre,CA,2021-04-21 21:17:11,50.2334,-63.5986,41.0,70,75,8.05
177,Xining,CN,2021-04-21 21:17:12,36.6167,101.7667,46.58,56,49,3.0
178,Kavaratti,IN,2021-04-21 21:17:12,10.5669,72.642,83.41,68,30,5.88
179,Dikson,RU,2021-04-21 21:17:13,73.5069,80.5464,28.45,95,100,13.44
180,Maridi,SS,2021-04-21 21:17:13,4.9158,29.4742,68.23,97,100,5.61
181,Ostrovnoy,RU,2021-04-21 21:17:14,68.0531,39.5131,36.81,71,100,6.6
182,Moree,AU,2021-04-21 21:17:14,-29.4667,149.85,42.8,81,0,4.61
183,Bubaque,GW,2021-04-21 21:17:15,11.2833,-15.8333,78.28,70,97,19.57
184,Darlawn,IN,2021-04-21 21:17:15,24.0167,92.9,64.45,58,10,3.24
185,Chara,RU,2021-04-21 21:17:15,56.9064,118.2631,12.22,85,100,6.82
186,Hokitika,NZ,2021-04-21 21:17:16,-42.7167,170.9667,56.03,79,98,2.95
187,Tura,IN,2021-04-21 21:15:09,25.5198,90.2201,74.46,66,100,3.85
188,Tolaga Bay,NZ,2021-04-21 21:17:16,-38.3667,178.3,60.13,81,52,7.63
189,Karpathos,GR,2021-04-21 21:17:17,35.507,27.2132,59.0,72,6,9.22
190,Kambove,CD,2021-04-21 21:17:17,-10.8764,26.5969,60.01,93,90,3.8
191,Nicoya,CR,2021-04-21 21:17:18,10.1483,-85.452,93.2,46,75,14.97
192,Bichura,RU,2021-04-21 21:17:18,50.5881,107.6022,25.3,61,91,4.72
193,Half Moon Bay,US,2021-04-21 21:17:18,37.4636,-122.4286,69.01,87,90,4.61
194,Harvard,US,2021-04-21 21:17:19,42.4222,-88.6137,43.0,47,99,16.26
195,Avallon,FR,2021-04-21 21:17:19,47.4833,3.9,46.0,77,44,2.44
196,Dingle,PH,2021-04-21 21:17:20,10.9995,122.6711,77.74,82,98,7.63
197,Port Augusta,AU,2021-04-21 21:17:20,-32.5,137.7667,53.01,82,94,8.05
198,Port Lincoln,AU,2021-04-21 21:17:21,-34.7333,135.8667,60.15,67,94,14.99
199,Pudozh,RU,2021-04-21 21:17:21,61.8099,36.5345,34.7,97,100,7.2
200,Shingu,JP,2021-04-21 21:17:21,33.7333,135.9833,53.83,50,6,7.05
