City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Victoria,HK,22.2855,114.1577,73.99,81,100,3.0,overcast clouds
148,Pangnirtung,CA,66.1451,-65.7125,34.72,87,99,1.88,overcast clouds
149,Barrow,US,71.2906,-156.7887,21.2,86,1,21.85,clear sky
150,San Luis,AR,-33.295,-66.3356,60.33,59,19,6.64,few clouds
151,Yulara,AU,-25.2406,130.9889,60.8,44,0,11.5,clear sky
152,Chekhov,RU,55.1431,37.4711,35.01,81,11,9.31,few clouds
153,Kaohsiung,TW,22.6163,120.3133,75.2,83,75,1.14,broken clouds
154,Skibbereen,IE,51.55,-9.2667,44.6,70,20,5.75,few clouds
155,Cieza,ES,38.24,-1.4199,62.01,84,82,5.99,broken clouds
156,Goure,NE,13.9835,10.2704,85.75,14,86,5.59,overcast clouds
157,Malko Tarnovo,BG,41.9833,27.5333,44.6,100,20,1.14,few clouds
158,Codrington,AU,-38.2667,141.9667,58.37,71,100,5.21,overcast clouds
159,Vuktyl,RU,63.8567,57.3094,41.13,74,100,11.03,overcast clouds
160,Muborak,UZ,39.2553,65.1528,69.42,24,100,16.37,overcast clouds
161,Rabat,MA,33.9911,-6.8401,63.0,94,40,8.41,scattered clouds
162,Thompson,CA,55.7435,-97.8558,32.0,93,90,10.36,light snow
163,Thaba-Tseka,LS,-29.522,28.6084,44.1,44,1,0.85,clear sky
164,Sainte-Marie,RE,-20.8968,55.5496,75.2,78,0,14.97,clear sky
165,Sovetskaya Gavan,RU,48.9723,140.2878,37.06,47,76,4.14,broken clouds
166,Goderich,CA,43.7501,-81.7165,35.6,69,31,19.57,scattered clouds
167,Belen,TR,36.4891,36.2233,60.8,72,75,4.61,broken clouds
168,Kavaratti,IN,10.5669,72.642,83.71,72,2,7.18,clear sky
169,Enkoping,SE,59.6361,17.0777,34.0,93,90,2.3,overcast clouds
170,Galesong,ID,-5.3166,119.3661,75.2,100,20,2.3,few clouds
171,College,US,64.8569,-147.8028,62.6,26,1,1.03,clear sky
172,Orocovis,PR,18.2271,-66.3917,79.0,86,53,1.99,broken clouds
173,Stromness,GB,58.965,-3.296,42.8,93,100,8.05,overcast clouds
174,Saldanha,ZA,-33.0117,17.9442,60.8,94,78,6.91,broken clouds
175,Navegantes,BR,-26.8989,-48.6542,75.2,78,20,6.91,few clouds
176,Okha,RU,53.5739,142.9478,28.4,58,4,4.92,clear sky
177,Namibe,AO,-15.1961,12.1522,77.59,65,0,8.34,clear sky
178,Lompoc,US,34.6391,-120.4579,55.99,82,100,5.75,overcast clouds
179,Lev Tolstoy,RU,53.2134,39.446,36.0,73,35,11.14,scattered clouds
180,Bengkulu,ID,-3.8004,102.2655,75.16,89,70,4.29,broken clouds
181,Lavrentiya,RU,65.5833,-171.0,31.32,88,83,1.25,broken clouds
182,Chegdomyn,RU,51.1167,133.0167,39.78,37,99,2.01,overcast clouds
183,Hof,DE,50.3167,11.9167,32.0,75,9,5.01,clear sky
184,Luwuk,ID,-0.9516,122.7875,78.64,78,93,3.89,overcast clouds
185,Quimper,FR,48.0,-4.1,48.2,76,0,14.97,clear sky
186,Arlit,NE,18.7369,7.3853,90.59,10,81,5.93,broken clouds
187,Vestmanna,FO,62.1564,-7.1664,44.6,100,100,9.22,overcast clouds
188,Longyearbyen,SJ,78.2186,15.6401,15.8,67,20,8.05,few clouds
189,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,14.97,few clouds
190,Katsuura,JP,35.1333,140.3,53.01,37,20,17.27,few clouds
191,Hamilton,US,39.1834,-84.5333,61.0,31,40,9.22,scattered clouds
192,Kahului,US,20.8947,-156.47,82.4,54,40,23.02,scattered clouds
193,The Valley,AI,18.217,-63.0578,79.0,78,20,13.8,few clouds
194,Batsfjord,NO,70.6345,29.7185,28.4,69,0,12.66,clear sky
195,Port Lincoln,AU,-34.7333,135.8667,62.38,71,6,7.25,clear sky
196,Bealanana,MG,-14.55,48.7333,61.43,98,100,2.75,overcast clouds
197,San Patricio,US,28.017,-97.5169,82.4,61,1,18.41,clear sky
198,Tonekabon,IR,36.8163,50.8738,57.2,100,20,0.34,few clouds
199,Serenje,ZM,-13.2325,30.2352,59.59,85,79,3.51,broken clouds
200,Batemans Bay,AU,-35.7167,150.1833,62.01,52,5,2.17,clear sky
201,Eyl,SO,7.9803,49.8164,82.54,76,71,7.9,broken clouds
202,Lamu,KE,-2.2717,40.902,80.96,79,91,10.87,overcast clouds
203,Alofi,NU,-19.0595,-169.9187,86.0,70,52,6.91,broken clouds
204,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,35.6,100,90,6.71,light rain and snow
205,Cabo San Lucas,MX,22.8909,-109.9124,84.0,24,90,8.05,overcast clouds
206,Penzance,GB,50.1186,-5.5371,46.4,81,77,22.77,broken clouds
207,Kifri,IQ,34.6959,44.9661,83.91,17,72,11.79,broken clouds
208,Qaanaaq,GL,77.484,-69.3632,28.9,72,14,7.14,few clouds
209,Hithadhoo,MV,-0.6,73.0833,82.15,69,79,4.29,broken clouds
210,Santa Marta,CO,11.2408,-74.199,84.99,71,34,10.0,scattered clouds
211,Naples,IT,40.8333,14.25,55.99,76,0,1.3,clear sky
212,Manggar,ID,-2.8833,108.2667,81.03,75,4,6.76,clear sky
213,Grande Prairie,CA,55.1667,-118.8027,50.0,23,75,10.36,broken clouds
214,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,79,90,11.5,light snow
215,Faanui,PF,-16.4833,-151.75,80.96,64,26,3.29,scattered clouds
216,Pandan,PH,14.0453,124.1694,77.47,78,100,8.68,overcast clouds
217,Contamana,PE,-7.3333,-75.0167,81.5,74,77,2.39,broken clouds
218,Kattivakkam,IN,13.2167,80.3167,82.4,78,40,2.3,scattered clouds
219,Hassleholm,SE,56.1591,13.7664,33.8,51,35,6.91,scattered clouds
220,Acapulco,MX,16.8634,-99.8901,84.2,70,90,6.91,overcast clouds
221,Alekseyevsk,RU,57.8406,108.3492,30.92,89,91,6.67,overcast clouds
222,Pagudpud,PH,18.5616,120.7868,77.0,78,75,2.3,broken clouds
223,Tahta,EG,26.7693,31.5021,82.4,21,0,13.8,clear sky
224,Hofn,IS,64.2539,-15.2082,44.37,83,100,12.06,overcast clouds
225,Urucui,BR,-7.2294,-44.5561,77.36,86,100,1.16,overcast clouds
226,Zaqatala,AZ,41.6336,46.6433,60.8,77,75,6.91,broken clouds
227,Arman,RU,59.7,150.1667,21.58,64,23,4.34,few clouds
228,Arrecife,ES,28.963,-13.5477,68.0,73,20,10.36,few clouds
229,Coahuayana,MX,18.7333,-103.6833,82.4,51,75,11.5,broken clouds
230,Wagga Wagga,AU,-35.1167,147.3667,53.01,81,1,5.75,clear sky
231,Mount Isa,AU,-20.7333,139.5,77.0,50,5,16.11,clear sky
232,Joshimath,IN,30.5667,79.5667,48.61,50,0,9.86,clear sky
233,Hobyo,SO,5.3505,48.5268,83.41,65,60,10.27,broken clouds
234,Noumea,NC,-22.2763,166.4572,75.2,69,75,12.66,broken clouds
235,Kathu,TH,7.9178,98.3332,84.0,94,75,2.3,broken clouds
236,Taltal,CL,-25.4,-70.4833,62.92,81,41,4.23,scattered clouds
237,Celestun,MX,20.8667,-90.4,82.74,66,37,12.71,scattered clouds
238,Villazon,BO,-22.0866,-65.5942,47.79,49,0,13.27,clear sky
239,Pinawa,CA,50.1489,-95.8811,48.61,31,100,9.04,overcast clouds
240,Nanortalik,GL,60.1432,-45.2371,40.48,82,100,13.96,light rain
241,Meulaboh,ID,4.1363,96.1285,76.3,85,86,2.53,overcast clouds
242,Kikwit,CD,-5.041,18.8162,70.95,95,67,2.28,broken clouds
243,Mokhsogollokh,RU,61.4681,128.9203,33.73,96,100,2.93,overcast clouds
244,Chuy,UY,-33.6971,-53.4616,63.48,71,95,12.59,overcast clouds
245,Chepareria,KE,1.3077,35.2039,61.93,95,100,0.38,heavy intensity rain
246,Eirunepe,BR,-6.6603,-69.8736,73.78,97,100,3.58,overcast clouds
247,Warrington,GB,53.3925,-2.5802,48.2,71,6,9.22,clear sky
248,Neman,RU,55.0311,22.0264,30.9,85,47,6.71,scattered clouds
249,Ponta Do Sol,PT,32.6667,-17.1,59.0,87,59,5.99,broken clouds
250,Mascota,MX,20.5167,-104.7833,82.4,69,75,12.66,broken clouds
251,Campos Novos,BR,-27.4017,-51.225,54.61,98,41,2.39,scattered clouds
252,Pogar,RU,52.554,33.2591,31.46,75,3,5.93,clear sky
253,Yellowknife,CA,62.456,-114.3525,8.6,72,90,13.8,light snow
254,Capela,BR,-10.5033,-37.0528,80.6,78,40,6.91,scattered clouds
255,Cockburn Town,TC,21.4612,-71.1419,78.8,73,40,11.5,scattered clouds
256,Eregli,TR,37.5133,34.0467,58.93,49,93,2.42,overcast clouds
257,Ostrovnoy,RU,68.0531,39.5131,32.85,98,100,20.76,light snow
258,Esperance,AU,-33.8667,121.9,59.0,55,0,16.11,clear sky
259,Saint-Augustin,CA,51.226,-58.6502,41.95,65,81,2.62,broken clouds
260,Mbanza-Ngungu,CD,-5.25,14.8667,69.26,93,91,1.81,overcast clouds
261,Natalinsk,RU,56.4739,57.8698,37.67,76,80,12.37,broken clouds
262,Tuy Hoa,VN,13.0833,109.3,78.21,86,39,1.79,scattered clouds
263,Caravelas,BR,-17.7125,-39.2481,76.89,80,4,7.81,clear sky
264,Nabire,ID,-3.3667,135.4833,76.41,88,100,1.59,overcast clouds
265,Kontagora,NG,10.3999,5.4695,75.38,74,94,11.21,light rain
266,Kaitangata,NZ,-46.2817,169.8464,55.0,48,72,5.01,broken clouds
267,Grindavik,IS,63.8424,-22.4338,39.2,93,0,9.22,clear sky
268,Manzanillo,CU,20.3433,-77.1167,83.12,64,51,7.05,broken clouds
269,Chokurdakh,RU,70.6333,147.9167,22.28,94,100,13.67,overcast clouds
270,Itoman,JP,26.1247,127.6694,71.6,64,20,9.22,few clouds
271,Pacific Grove,US,36.6177,-121.9166,55.99,81,100,9.22,overcast clouds
